text,target
Is there any way to save energy on water heater?,Water heaters are the second most giant energy hog. If your water heater is 10 to 15 years old it's probably time to replace it. You'll save the most energy costs if you get a heat pump water heater. Do you need more time to be ready to replace your water heater? Fear not follow: https://portlandgeneral.com/save-money/save-money-home/water-heaters
What is the Smart Thermostat program? ,When you enroll in the program your thermostat will automatically shift some of your energy use away from peak times when energy demand is high. There are typically 8 to 9 Peak Time Events each summer and 5 to 6 in winter. Events usually last 1 to 4 hours. 
What are the best ways to save with appliances? ,1) Refrigerators are the most energy users in your kitchen. Vintage is cool but it's very inefficient if your refrigerator is pre-1993. A newer model could result in significant savings. 2) If you wash with hot water you'll save by upgrading. You could replace the dryer while you're at it. ENERGY STAR products use 10 to 50 percent less energy and water than standard models. 3) If your dishwasher is ten or older it might be time to replace it with an energy-efficient model. 4) Fridges washers and dishwashers are significant energy users. Other appliances still running well won't make that much of a difference in savings. 5) Energy Trust of Oregon offers cash-back incentives on select front-load clothes washers. Those that qualify are usually the most efficient but not all ENERGY STAR models qualify.
What are EV charging options?,Ninety percent of EV owners charge at home which can be done by simply plugging into a wall outlet or installing a Level 2 home charger. If you cannot charge at home Oregon has nearly 1250 public charging stations with seven charging networks including PGE's electric Avenues. If you're new to electric cars or want to understand charging better we recommend using the Chargeway app. Chargeway customizes results that fit vehicles' preferences so that you can find quick convenient charging anywhere.
How are EV compared to Gas?,You've come to the perfect place to start exploring the wide range of electric vehicles available the rebates and incentives offered and even your EV charging options as you add up how much you could save by going electric. Find the calculator here: https://portlandgeneral.com/energy-choices/electric-vehicles-charging/ready-to-buy-an-ev/electric-vehicle-costs-and-savings-calculator 
What are the benefits of EV charging station at home? ,It’s easy to earn rewards while doing good for the environment and helping us build a more efficient and resilient grid. Enrolling in Smart Charging comes with rebates for purchasing and installing a qualifying Level 2 home EV charger plus ongoing bill credits. 
How does the smart charging works?,1) Your charger will automatically shift its charging schedule away from peak times when energy use is high and sustainable energy resources are scarcer. We call these Smart Charging Events. 2) During these events your charger will pause your vehicle's charging. It will start again once the event is over. You can opt out of any event via your charging app. 3) When you participate you can earn a $25 credit on your bill at the end of a Smart Charging season (October to March and April to September).
How easy is it to charge an electric vehicle?,Let’s put it this way – charging your EV is more accessible than filling up at a gas station because you can do it at home or on the go! If you want to charge faster install a Level 2 charger in your garage or visit a DC Fast Charger around town. 1) Level I : Power: Typically 1.4 kW Charge Time: 3 – 5 miles of range per hour of charging. 2) Level II : Power: Typically 7 – 12 kW Charge Time: ~25 miles of range per hour. 3) DC fast charger : Power: Typically 50 – 350 kW Charge Time: 80% charge in around 45 minutes.
What do I need to start service in my name?,To begin service in your name we require one piece of identification. While the Social Security Number (SSN) is most used several other forms such as Driver’s license/State ID Matricula Consular Passport Visa US Military ID Citizenship and Immigration Services Permanent Resident Card Tribal ID for Oregon tribes Current work and school ID are accepted. We’ll also need your birth date the property address where you need service and the date you accepted financial responsibility for that location. Please note that if you have previously been registered with our online services your email address and password will be helpful to have available.
How do I transfer my service to someone else?,We suggest removing the service from your name first at https://portlandgeneral.com/secure/service/stop. This will require you to register for online services. Then the individual taking over responsibility must request service online at portlandgeneral.com or call us from 7 a.m. to 7 p.m. M- F.
How do I start service on behalf of someone else?,Generally we do not allow others to start service for someone else but some exceptions include Conservatorship Estate Guardianship Power of Attorney and Trusts. If you have one of these exceptions please call us at 7 am – 7 pm M- F; we will gladly help. Please have the appropriate documentation available when you call. If legal documentation of the above is unavailable please have the individual taking over responsibility either request service online at Portlandgeneral.com or call us at 800-542-8818 7 am to 7 pm M-F.
I am moving from one location to another and have a gap or overlap in dates. Is this okay?,Yes we understand that different circumstances can cause you to have different starting and stopping dates for services. We are happy to accommodate in most of these cases.
I am moving into a location where the service is off. What do I do?,"We are unable to process this request online. To ensure power is restored safely give us a call at 800-542-8818 7am to 7pm M-F to process your request. Please note if you are aware service has been off for 6 or more months and/or repairs or upgrades have been made to the electrical equipment at the home a passed city or county inspection will also be required before we can restore service. See contact information for scheduling inspections below.
County or City / Inspections
Clackamas County / 503-742-4720
Columbia County / 503-397-1501 ext 5
Marion County / 503-588-5147
Multnomah County / 503-823-7363
Polk County / 503-623-8771 or 1-888-299-2821
Washington County / 503-846-3470 or 503-846-3699
Yamhill County / 503-434-7516 opt 1
City of Aurora / 503-678-1283
City of Beaverton / 503-526-2403
City of Fairview / 972-886-4250
City of Gresham / 503-618-2845
City of Hillsboro / 503-681-6144
City of Portland / 503-823-7300
City of Salem / 503-588-6256
City of Silverton / 503-874-2208
City of Tigard / 503-718-2439
City of Troutdale / Schedule online only
City of Wood Village / 503-489-6861 or 503-489-6859
Unincorporated areas / 503-998-3043"
I currently have service and need to add an additional one. Can I do this?,As an existing customer we would happily start service at another address. We will need the address of the property and the date that you accepted responsibility. Please note if you have previously been registered with our online services your email address and password will be helpful to have available.
I am moving into my newly constructed home how do I start service?,Congratulations! Whether you are an existing customer or starting service with us for the first time we are happy to help you online or over the phone at 800-542-8818 M-F 7 am – 7 pm. Please note in some circumstances the new address may be pending in our billing system and a call will be required.
"What should I do if someone calls claiming to be from PGE and threatens to shut off my power immediately?
",Beware of any calls from someone claiming to be from PGE and threatening to shut off your power on the same day particularly if it is the first notice. PGE always provides multiple opportunities for payment well before any disconnection.
"What if a PGE employee comes to my door demanding immediate payment?
","If someone claiming to be a PGE employee visits your home or business demanding immediate payment ask to see their PGE employee badge check for clothing with the PGE logo and ensure they arrived in a PGE vehicle. Verify their identity by calling PGE directly.
"
"How can I tell if a payment demand might be a scam?
","Be suspicious if the payment demanded is just under $500 or $1000 especially if you believe you do not owe that much. Scammers often ask for these amounts.
"
"Will PGE ask for payment through Zelle Venmo or pre-paid cards?
","No PGE will never request payments via Zelle Venmo or pre-paid cards. Scammers commonly prefer these methods. 
"
"What should I do if I receive a bill that looks suspicious?
","If you receive a bill that does not match the account number and billing information on your previous documents or portlandgeneral.com consider it suspect and verify it through official PGE channels.
"
"Can I trust my caller ID if it shows “PGE” or “Portland General Electric”?
","Proceed with caution even if your caller ID displays “PGE” or “Portland General Electric” as scammers can fake caller ID information.
"
"How can I check the status of my PGE account?
","You can check your account status online at portlandgeneral.com or by calling PGE at 800-542-8818 or 503-228-6322. Register online for easy access to your account information.
"
"What should I do if I suspect a scam?
","If you have any doubts about a communication's authenticity hang up immediately and check your account status through the official PGE website or by calling their customer service. 
"
"How can I report a suspected scam to PGE?
","To report a scam call PGE customer service. When the virtual advisor prompts say ""Report a scam"" and follow the instructions to provide the necessary information."
What should I do if a caller claims there's an issue with my PGE account and asks me to call back on a non-PGE number?,If you receive a suspicious call like this hang up immediately. Refrain from calling back on the provided number. Instead contact PGE Customer Service at 800-542-8818 to report the incident and verify any account issues.
How do I handle a phone call demanding immediate payment for my PGE bill with threats to disconnect my power?,If someone demands payment via prepaid credit cards and threatens to disconnect your power hang up. This is different from how PGE handles billing. Report the call to PGE Customer Service and inform your local police department.
"I received an email that looks like it's from PGE but with odd account numbers. What should I do?
",Do not click any links or download attachments from suspicious emails. Please verify the email by comparing it with your actual account information on the PGE website or call PGE Customer Service at 800-542-8818 to confirm its authenticity.
What should I do if I receive a suspicious text message asking for payment or personal information claiming to be from PGE?,PGE will never text you to ask for direct payments or personal information. You should ignore and delete these messages. For confirmation or to report the scam contact PGE Customer Service.
"How can I manage or opt-out of PGE text message alerts?
","You can manage your messaging preferences by accessing your PGE account online. To unsubscribe from outage alerts reply with ""STOP OUTAGE ALERT"" to any alert message. 
"
What should I do if someone comes to my door claiming to be a PGE employee and asks for immediate payment?,Always ask for the PGE employee badge which should have a name photo and PGE logo. Verify their identity by calling the number listed on the badge. Only hand over money or personal information if you are confident. Instead call PGE Customer Service at 800-542-8818 for verification and assistance.
How to save money with weatherization?,"1. Pull the shades.
Yep it’s that simple. Window coverings help hold heat in and cold out.
2. Close your fireplace damper and doors. Only close up when you don't have a fire lit and it’s a good idea to let the fireplace cool completely before closing the damper.
3. Get your fireplace a pillow.
Yes fireplace pillows or chimney balloons are a thing. They inflate in your chimney to block drafts (and noise soot and debris).
4. Install weather stripping around doors. Seal gaps and keep drafts at bay.
5. Add or repair insulation in roofs and walls. Not an easy fix but the benefits in energy savings could offset the work and expense."
How do I sign up for weatherization assistance?,"Call the Community Action agency for your county. 

Clackamas Agency: Clackamas County Weatherization e Phone: 503-650-3338 

Marion / Polk Agency: Mid-Willamette Valley Community Action Agency Email: weatherization@mwvcaa.org Phone: 503-315-7055 Press ""O"" 

Multnomah Agency: Multnomah County Weatherization e Email: weatherization.team@multco.us Phone: 503-988-7423 

Washington Agency: Washington County Community Action OrgEmail: weatherization@caowash.org Phone: 503-906-6550 

Yamhill Agency: Yamhill Community Action Partnership Phone: 503-687-1483"
"How do I know if I qualify for the weatherization?
","If your income is at or under the amount below for the number of people who live in your house you're in!

Income guidelines
200% of Federal Poverty Level by Household Size

As of July 1 2023

Poverty Income Guidelines - Source: HHS

Size of family unit / Annual gross income / Monthly gross income
1 / $29160 / $2430
2 / $39440 / $3257
3 / $49720 / $4143
4 / $60000 / $5000
5 / $70280 / $5857
6 / $80560 / $6713
7 / $90840 / $7570
8 / $101120 / $8427
9 / $111400 / $9283
10 / $121680 / $10140
11 / $131960 / $10997
12 / $142240 / $11853
Each Additional Member / $10280 / $857"
How should I do if I don't qualify for this weatherization?,If you earn too much to qualify for weatherization assistance you may be able to participate in the Savings Within Reach program from Energy Trust of Oregon http://energytrust.org/.
I need more time to pay my bill. What should I do?,"I need more time to pay my bill.
We get it. Sometimes you just need a little extra time. Request a payment extension online or give us a call at 800-542-8818."
How can I get some help paying bill?,You may be eligible for financial assistance through your local Community Action Agency. PGE also offers a monthly bill discount on your energy use based on your household income. Or you can call our Customer Service team at 503-228-6322 to learn about your options.
What is the weatherization?,Weatherization steps — such as adding insulation reducing unwanted air leaks or improving your heating system — can help save energy control energy bills and keep your home warm and cozy.
What are they ways to pay the bills? ,"Here are three easy ways to pay your bill: First use the PGE app for a quick and convenient payment. Second pay in person without any additional fees. Third pay by phone or mail to complete your payment hassle-free.

"
What is PGE app?,The PGE app for Android and iPhone is the simplest way to access your account pay a bill report an outage get updates and track your energy use.  
What is Pay in person? ,Pay for free with cash or debit card at Western Union or CheckFreePay located in many major retailers near you. 
How to pay by phone and mail?,Use our automated phone system to pay by card or checking account. The phone numbers are 503-228-6322 (Portland) and 800-542-8818 (elsewhere). If paying by checking account have your PGE bank and routing numbers handy. You can also mail payments to PGE P.O. Box 4438 Portland OR 97208-4438.
Is there any Bill payment assistance?,Bill payment assistance may be available through various federal state and charitable resources. If your income has been impacted recently you can still qualify. Requirements are based only on your last 30 days of income.
What is Income-Qualified Bill Discount?,Our Income-Qualified Bill Discount provides ongoing monthly help with your PGE bill and any other assistance you may be getting from us or other agencies. 
What is Auto Bill Payment?,You'll continue to receive a monthly statement from PGE with plenty of time to review it before it’s due. On the due date the payment will be automatically deducted from your bank account. If you have a question just give us a call.
What is the bill payment assistance number?,Call us at 503-228-6322 or 800-542-8818 to discuss options.
What is PGE+?,PGE+ is a new online platform on our website. This one-stop shop will guide you to the right electrical equipment or appliances that meet your needs (first offering: fast “level 2” EV home chargers) connect you to rebates and discounts hook you up with a PGE-approved contractor for installation and help you enroll in the appropriate PGE program(s) for ongoing rewards and savings.
What products and programs will be available through PGE+? ,The first product will be fast Level 2 EV home chargers so EV drivers who want to charge at home can easily find the correct charger get it installed and receive the PGE rebates and ongoing bill credits available through enrolling in our Smart Charging program. Future products/equipment will be available through PGE+ and we will announce those later in 2024.
Why should I use PGE+?,"PGE+ is useful for any residential customer looking for a new electrical appliance or piece of equipment and needs help selecting that item. Because of the easy one-stop shop nature of PGE+ it’s right for anyone who also needs help getting the item installed professionally and wants to make sure they're getting the best guidance and best price. PGE+ will soon offer many products but since the first offer is faster home EV chargers you can use PGE+ if you are an EV driver wanting to charge faster at home.

At initial launch PGE+ serves EV drivers who:

Need a Level 2 EV home charger and installation

Already have a qualifying Level 2 EV home charger but need it installed

Already have a qualifying Level 2 charger installed and just want to enroll in Smart Charging and get a rebate plus ongoing bill credits.

If you are an EV driver who only wants to charge at work or away from home a faster Level 2 charger may not be something you need yet.

In addition using PGE+ matters. Electrifying your home with smart equipment and appliances that can connect to the electric grid are a vital part of creating a clean energy future for Oregon. It’s an easy way to support sustainable energy sources and create a strong flexible energy grid."
Who can use PGE+?,Using PGE+ to purchase and install a new Level 2 home EV charger requires that you own the home where you want the charger installed (since only the homeowner has the right to make a hard-wired change to the house). You are to be the PGE account holder with your account in good standing.   Your home is not to be an apartment or condo. Condos or apartments in a residential building with three or more dwelling units are not eligible for PGE+ services. If you already have a qualifying Level 2 EV charger installed at your home you can apply for a rebate and enroll in EV Smart Charging here: https://portlandgeneral.com/energy-choices/electric-vehicles-charging/charging-your-ev/charging-your-ev-at-home.
If I'm still interested in enrolling in PGE's EV Smart Charging program can I still apply for rebates outside of PGE+?,Sure. If you don't need help selecting a qualified Level 2 charger don't need help with installation or aren't interested in instant rebates you can still apply for a Smart Charging rebate on our website. You must first purchase a qualifying charger and get it installed. Once approved you will receive a rebate check in the mail up to several weeks later.
What is the difference between PGE+ and PGE marketplace?,PGE Marketplace is a place where you can purchase products. PGE+ is a one-stop shop for your projects. PGE+ not only guides you to the right equipment/appliances but also helps you install them by qualified professionals ensures you get all of the rebates available and enables you to enroll in the right PGE program for ongoing savings.
Why should I choose a faster Level 2 EV home charger?,Although most EVs can be plugged into a standard electrical outlet a fast “Level 2” EV charger can charge up to 5x faster. Many customers want the flexibility and convenience of charging their cars quicker and more often. In addition only qualifying Level 2 chargers are eligible for the rebates and ongoing bill credits available through our Smart Charging program. In addition by choosing a qualifying Level 2 charger and enrolling in Smart Charging you become vital to creating a clean energy future for Oregon. It’s an easy way for you to help keep energy costs down support sustainable energy sources and build a robust and flexible energy grid.
Which charges can be purchased through PGE+?,The list of qualifying chargers available can be found at https://portlandgeneral.com/charge-faster. We are adding new models as they qualify.
Why did PGE choose those chargers?,These chargers were evaluated for performance safety user experience quality ease of setup installation and sustainability. During our evaluation these models achieved either a “best in class” or “acceptable” rating. They can also work with our system as part of the PGE EV Smart Charging Program.
Why isn't a Tesla on the Qualified product list?,EV chargers must be enabled to participate in the PGE Smart Charging Program. Unfortunately Tesla does not produce any of these chargers right now. However all chargers on our qualified list work with Tesla vehicles with a Tesla J1772 charging adapter. All Tesla vehicles should come equipped with this adapter when they are on sale. If you use this adapter please conform with all local and national codes standards regulations or laws. You can also still enroll in the PGE Smart Charging program powered by evPulse if you drive a Tesla and don't have a qualifying Level 2 charger.
What is Time of Use?,Time of Use is a variable rate structure charges for energy depending on the time of day and the season the energy is used
How do I enroll in Time of Use?,The residential enrollment is closed to new participants as of January 1 2024 but small business customers can still enroll if they meet the usage criteria. 
Who can enroll in Time of Use?,Residential and eligible small business customers
What is the benefit of using Time of Use?,Small businesses that primarily use electricity during off-peak hours can benefit from lower rates especially if they operate at night or on weekends charge electric vehicles overnight or have flexible usage patterns.
What happened to the residential participants after December 31 2024?,This portfolio option will expire for all residential participants after December 31 2024 at which time any remaining participants will be placed on the basic service rate.
How does Time of Use pricing work for electric usage?,The rate is lower on nights and weekends and higher at high-demand times such as weekday mornings and evenings.
Why is My Power Out?,General Outages Scheduled Maintenance Public Safety Power Shutoff (PSPS) and Rotating Outages.
What is General Outages?,General outages can occur due to various unforeseen events such as wildlife interference equipment malfunctions traffic accidents natural disasters and weather-related issues such as strong winds and ice. 
What is Scheduled Maintenance?,Scheduled outages occur for planned infrastructure improvements enhancing the energy grid's reliability and efficiency.
What is Public Safety Power Shut Off (PSPS)?,A PSPS occurs during extreme weather to prevent wildfire risks prioritizing community safety. URL: https://portlandgeneral.com/outages-safety/public-safety-power-shutoffs
What is Rotating Outages?,A final measure can be taken to manage energy demand when it surpasses the available supply. This may involve temporary power cuts that can last up to two hours. The purpose of these cuts is to alleviate the strain on the electrical grid and prevent more widespread outages. URL: https://portlandgeneral.com/outages-safety/restoring-power. URL: https://portlandgeneral.com/outages-safety/restoring-power
How is power service restored?,We first prioritize restoring critical public safety resources like hospitals and water treatment facilities. Our crews then work to restore power to most customers continuing until service is restored for everyone. To check outage status residential or small business customers receive text notifications; if not report outages online or by calling 503-464-7777.
What can I do to prepare for power outage?,Start by logging into your account and ensuring we have your current contact information including a mobile phone number and email address. If you have medical needs requiring electricity apply to the Medical Baseline program. Finally use our outage preparation guide available online or through our app. URL: https://portlandgeneral.com/auth/sign-in
What to Do When the Power Goes Out?,Reset GFCI outlets & circuit breakers Report an outage and get updates.
What is Reset GFCI outlets & circuit breakers?,If the power goes out first check if neighbors are affected. If it's only your house reset any tripped GFCI outlets (with reset buttons) and check your electrical panel for tripped breakers. Resetting the breakers by turning them off for 15 seconds and then back on can often restore power. If the issue persists seek assistance from a qualified electrician. URL: https://portlandgeneral.com/outages
What is Report an outage and get updates?,If you're a residential or small business customer we'll text you if your power goes out. However if you don't receive a text you can report outages by downloading our app (https://portlandgeneral.com/pge-mobile-app) or calling us at 503-464-7777 503-399-7717 or 800-544-1795.
What additional steps should you take to prevent power goes out ?,Turn on one outside and one inside light. Turn off major appliances at the breaker box. If you have a backup generator use it. Call PGE if your neighbor's power comes back on before yours does. Also contact PGE and turn off the breaker if your lights appear dim or bright after power is restored.
How to keep food fresh when power out?,Avoid opening fridge doors as much as possible to keep food in your fridge and freezer cold. Add bagged or blocked ice or move your food to a cooler with ice. A cooler or box outside will keep food cold if it's below 40 degrees. Just be sure to keep an eye out for rising temperatures. URL: https://www.foodsafety.gov/food-safety-charts/food-safety-during-power-outage
What are further important reminders for power?, Never use charcoal grills or portable gas-powered generators indoors to prevent carbon monoxide poisoning and learn how to operate the manual release lever on your automatic garage door while checking on elderly or impaired neighbors during outages.
Where is the Warming shelter ?,If extreme weather or cold means you need a place to get warm find information by county at 211info.org. URL: https://www.211info.org/winter-and-severe-weather-shelters/
What social media can I follow to find out about outages?,Follow us on Facebook for the latest on major outages. URL: https://www.facebook.com/PortlandGeneralElectric
Where is a Public Safety Power Shut Off (PSPS) most likely to be called?,The light purple areas show the areas in our service territory that are currently at a higher risk for a safety-related outage. Click on an area in the live map or enter your address in the box to pinpoint your location. This map will be updated throughout the wildfire season with additional details and information. URL: https://www.arcgis.com/apps/webappviewer/index.html?id=8f2f6c2dc794415c87a87d4ce977fe92
How can we prepare for an outage?,Stay in the know create a summer outage kit and make a plan. 
What is Create a summer outage kit?,Flashlights headlamps and battery-powered radios and fans are essential for emergency preparedness. Remember to stock up on extra batteries and have car chargers for cell phones ready in case of power outages.
What is make a plan for outages?,Prepare for potential relocation with a friend family member or shelter if you rely on electricity for medical needs or work/study from home. Consider a backup emergency generator and map out a wildfire evacuation route based on your county's guidelines.
What is a Public Safety Power Shutoff?,Our top priority is the safety of our customers and community and we may implement a Public Safety Power Shutoff (PSPS) during extreme weather conditions to protect public safety. When considering a PSPS we analyze various factors including wind speed temperature humidity and local fire department input to make informed decisions to minimize disruptions while prioritizing safety.
How to minimize business disruption?,Plan for manual alternatives for tasks typically done on computers and cash registers during a power outage. Ensure electronic door locks can be bypassed manually if necessary. Verify the functionality of emergency lighting systems and train employees on procedures for handling power outages including shutting down sensitive equipment as needed.
How to protect equipment when power out?,Ensure critical equipment remains operational during outages by having backup power sources like generators or UPS systems. Protect computers and sensitive equipment with quality surge protectors from power surges and use automatic backup programs to prevent data loss.
Do your medical needs require electricity?,Join our Medical Certificate program and apply to the PGE Medical Certificate program so we can identify you and support you.
Who is eligible for PGE Medical Certificate program?,Customers with medical equipment like oxygen concentrators or refrigerators for insulin storage can qualify for electricity but need verification from their medical provider. Individuals with extreme health risks and mobility concerns may also qualify for this verification to ensure their electricity needs are prioritized during potential outages.
How to enroll PGE Medical Certificate program?,Download the Medical Certificate application. Your qualified medical provider (MD nurse practitioner physician's assistant) must complete the application. Once completed follow the instructions to return it to us. URL: https://assets.ctfassets.net/416ywc1laqmd/7DHt6CfdsOWC3qdfd0gMIF/a2cdced2fd833732f6369ba94276d8d7/1803_PGE_Emergency_Medical_Certificate-Arial_v2_Spanish_Fillable.pdf
What do I need to know before I install a generator?,Prior to installing a generator in your home have your licensed electrician call PGE to advise that you are planning to install one. PGE will advise of the necessary steps your electrician needs to follow for a successful installation. Please call PGE Customer Service at 503-228-6322 or 1-800-544-1795.
How do I know the right type of generator and installation for my home? ,The right person for the job makes all the difference. There are licensed electrical contractors throughout Oregon that can help you investigate the right generator and installation for your home. However we cannot guarantee service and availability.
How large of a generator should I invest in? ,That depends on how much equipment you need to operate during a power outage. Contact an electrician for assistance in understanding your power needs. 
What should I do about my life-safety equipment that needs constant power? , A stationary or permanently installed generator is your best choice. After an outage it can restore power in seconds and support all loads as long as it has fuel.
Will all of my equipment run properly when powered from a generator?,Newer generators feature electronic governors which can regulate voltage to plus or minus 6 percent of nominal or better. This type of voltage regulation can work with most equipment.
How can I use my home generator to power lights in my home or my electric water heater?  ,To safely power circuits in your home you need an electrician-installed transfer switch. Contact an electrician for cost estimates.
Can I plug my generator directly into an outlet?,Never plug your generator directly into an outlet in your home. You can ruin your home’s wiring and cause a fire or power may backfeed into PGE’s lines putting our repair crews at risk.  
How much emergency fuel should I have available?  , Have enough generator fuel to last through an extended outage or natural disaster: Emergency preparedness experts suggest supplies for at least 3 to 10 days. 
How much does a good outlet surge protector usually cost?,For home use quality surge protectors can be found for as little as $10 to $15 for a small single-outlet model. Larger models with six to eight outlets based on features can be about $35- $75. 
What can't a surge protector do?,It cannot protect you from power outages (blackouts) or power sags (brownouts). It provides only limited protection from surges and nearby lightning strikes. 
Will a surge protector work in my older home?,A surge protector will only work if plugged into a properly grounded three-prong outlet. If your home features two-prong or improperly grounded three-prong outlets talk to an electrical contractor about upgrading.
What about my old surge protector? ,The UL Standard 1449 became more strict in August 1998 so older versions may be less safe. The UL Standard 1449 must be stamped or embossed on the device for adequate protection.
How much does panel mounted surge protection cost? ,Materials and labor costs can vary from $300 to $700. Consult an electrician for more information. 
What is panel-mounted surge protection?  ,Panel-mounted surge protection is crucial for reducing voltage spikes at the electric meter to protect significant appliances. However indoor outlet surge protection such as plug strips is also necessary to protect electronic devices like computers comprehensively. Combining these measures helps safeguard against both external and internal power issues preserving the lifespan of your equipment and appliances.
How does a UPS work? ,When power is interrupted a UPS converts battery power to the AC power needed to operate the equipment. It does this with an electronic circuit called an inverter. 
How long can a UPS provide power from its battery? ,It depends on the size of the UPS the battery and the connected equipment. Usually a UPS can support equipment for 10 to 20 minutes. 
How do I know when my battery power is low?,Usually the UPS device starts beeping when the battery is low. Higher-end UPS devices have a software package that will alert you when the battery reaches low. 
Why are there different types of UPS devices? ,All UPS types provide power interruption protection but line-interactive devices can provide continuous power conditioning. 
How much should I plan on investing in a UPS?, An essential UPS starts at about $50 while more performance-oriented devices can cost up to $2000.
Where can I purchase a UPS device? ,UPS devices are available online or at office equipment and computer/electronics stores.
Have power problems?,Home FAQs (https://portlandgeneral.com/outages-safety/be-prepared/power-troubleshooting/home-faqs)Office FAQs (https://portlandgeneral.com/outages-safety/why-is-my-power-out/office-faqs) and Facility FAQs (https://portlandgeneral.com/outages-safety/why-is-my-power-out/facility-faqs).
How electricity works?,Electric safety is mainly an exercise in common sense but it helps to know some fundamentals of how electricity works; then use these guidelines around the home and see our outdoor safety rules too. URL: https://portlandgeneral.com/outages-safety/safety/outdoor-safety
How can individuals get started with solar panels including learning about costs incentives and benefits?,Individuals interested in solar panels can begin by exploring PGE's resources on solar panel costs incentives and benefits. PGE supports solar as part of Oregon's clean energy future and provides information to help customers understand how to add solar panels to their properties.
How can PGE assist customers considering solar panel installations for their home or business?, PGE helps customers by answering common questions about solar costs incentives and benefits and provides resources to facilitate discussions with solar contractors. 
Where can solar installers find helpful tips and resources?,Solar installers can access helpful tips and resources in PGE's Renewable Energy Installers section. URL: https://portlandgeneral.com/renewable-installers
What are key considerations before installing solar panels in Oregon?,Please remember the following tips to ensure optimal performance and safety of your solar panel system. First make sure your solar panels are positioned to face the south and avoid shading from trees or structures to maximize energy output. Second consult with your contractor to determine if any changes to the grid connection are necessary to ensure reliability and safety. Third use your PGE bill to calculate your energy usage and work with your contractor to size the solar system appropriately. Consider future energy needs and explore battery storage options for backup power and resiliency especially if you purchase electric vehicles or heat pumps.
What are the costs associated with installing solar panels and what incentives are available?,Please keep in mind the following information about solar system costs. While the initial expenses can be high you can significantly reduce your net costs by taking advantage of incentives and federal tax credits. An excellent tool to help you estimate the impact of solar installation on your budget is the Energy Trust of Oregon solar cost calculator which PGE provides. Participants in PGE's Net Metering program are eligible for tax credits and incentives. You can explore tax credits offered by the Department of Energy and incentives provided by Energy Trust of Oregon to maximize your savings on solar installation. By enrolling in PGE's Net Metering program you can receive ongoing bill credits for the surplus power your solar panels generate and contribute to the grid. Before starting your solar installation project you can apply for net metering online through PowerClerk.
What steps should you take to choose a solar installer?,It's essential to conduct thorough research when looking for a solar contractor. Start by scouring the internet for reviews and feedback from past clients to get an idea of the contractor's reputation and quality of work. It's also a good idea to obtain at least three quotes from different contractors to compare their pricing and services. Request examples of their previous solar installations to gauge their experience and craftsmanship. Additionally verifying the contractor's legitimacy is crucial to ensure they are qualified and reputable. This can be done by checking with third-party organizations or agencies that maintain a list of credible solar contractors.
How do I find a solar installer?,Visit Energy Trust Oregon to find a qualified trade ally contractor. Remember only Energy Trust-qualified contractors can receive the incentives provided by Energy Trust of Oregon. PGE does not partner with any specific solar contractor and it's important to get multiple bids and do your research before signing any contracts. URL: https://www.energytrust.org/find-a-contractor/
How much energy will your solar panels generate? How will this compare with the energy you consume?,These are just a couple of the many questions a qualified installer will ask you at your specific location.
How much does it cost to own the solar panels? Is financing available for solar?,Purchasing a solar system outright will give you the quickest payback and the highest return on investment. Be sure to check with your bank about available financing. Some installers also offer financing and/or leasing options.
What incentives are there to help with solar costs?,Energy Trust of Oregon offers incentives to customers who use a qualified solar contractor they recommend. You can also avail of a Federal Investment Tax Credit (ITC) of 26% (for systems installed in 2020-2022) or 22% (for systems installed in 2023) of eligible solar system expenses including solar panels contractor labor and balance of system equipment. Additionally you can combine your solar system with energy storage (batteries) to qualify for rebates under HB 2618 in Oregon. These rebates are available on a first-come first-served basis with up to $5000 for the solar portion and $2500 for the energy storage portion.
What are the benefits of combining solar panels with battery storage?,Solar panels generate excess electricity which can be stored in a battery for later use. This helps optimize energy utilization and makes the system more efficient. In times of insufficient solar production the battery can provide backup power alongside the grid ensuring reliability. Furthermore a battery enables solar panels to supply power during outages making it essential for emergency preparedness and enhancing resilience against severe weather.
What alternatives does PGE offer if solar power is not suitable for your home?,If generating your power is not viable you can choose from PGE's renewable power alternatives. Consider the Green Future Choice Green Future Block programs or Oregon's Community Solar program. The Community Solar program offers small affordable solar projects to communities all over Oregon. To learn more about these options visit https://portlandgeneral.com/energy-choices/renewable-power or https://portlandgeneral.com/energy-choices/renewable-power/community-solar.
What are the benefits of investing in a solar energy system?,Investing in solar offers cost savings through reduced monthly bills or operating costs lowers your carbon footprint by generating clean energy increases property value and assists you in qualifying for LEED certification demonstrating your commitment to sustainability.
How can local community organizations assist with bill payment for customers impacted by recent income changes?,Local community organizations offer bill payment assistance based on income guidelines from programs like LIHEAP and OEAP focusing on income earned in the last 30 days. Applying promptly is crucial due to limited funding availability and customers should notify their utility provider if they are working with a community organization for assistance.
What is the Low-Income Home Energy Assistance Program (LIHEAP) and when does it provide special outreach?,LIHEAP is a federally funded program that assists eligible families and individuals with paying their energy bills. Special outreach is conducted in October and November for seniors disabled individuals and households with children under age six before the program opens to the general public in December.
What is the Oregon Energy Assistance Program (OEAP) and how is it funded?,The Oregon Energy Assistance Program (OEAP) is a year-round assistance program funded by a state-mandated charge added to all Portland General Electric (PGE) customers' bills.
